date,daily_sentiment_score,news_count
2015-01-31,-0.33176133,3
2015-02-01,-0.567021,2
2015-02-03,-0.99996006,2
2015-02-04,-0.57559,4
2015-02-05,-0.5424467,6
2015-02-06,-0.00248814,3
2015-02-09,-0.20326181,3
2015-02-10,0.22166675,9
2015-02-11,-0.7117437,5
2015-02-12,-0.5354266,4
2015-02-13,-0.69850016,7
2015-02-14,-0.9945301,1
2015-02-16,-6.479514e-05,1
2015-02-17,-0.072810054,2
2015-02-18,-0.6532833,3
2015-02-19,-0.8217263,5
2015-02-20,-0.6649289,3
2015-02-21,-0.9974442,1
2015-02-23,-0.9785797,3
2015-02-24,-0.79209995,3
2015-02-25,-0.993014,4
2015-02-26,-0.79904604,5
2015-02-27,-0.93294334,3
2015-02-28,-0.9973555,1
2015-03-02,-0.7735765,9
2015-03-03,-0.94126004,4
2015-03-04,-0.11407178,1
2015-03-05,-0.9998699,1
2015-03-06,-0.99623626,2
2015-03-09,-0.4899522,4
2015-03-10,-0.00010237098,2
2015-03-11,-0.7692032,5
2015-03-12,-0.66333145,3
2015-03-13,-0.35456866,4
2015-03-15,-0.99991536,1
2015-03-16,-0.8282616,6
2015-03-17,-0.49788433,2
2015-03-18,-0.7495756,4
2015-03-19,-0.65954375,3
2015-03-20,-0.99969673,2
2015-03-23,-0.8901533,5
2015-03-24,-0.7652921,3
2015-03-25,-0.5885712,5
2015-03-26,-0.3461817,4
2015-03-27,-0.27934003,5
2015-03-30,-0.9940999,4
2015-03-31,-0.6237434,6
2015-04-01,-0.99073595,3
2015-04-02,-0.99764466,2
2015-04-03,-0.34964454,1
2015-04-06,-0.09555235,3
2015-04-07,-0.7594501,4
2015-04-08,-0.99039865,2
2015-04-09,-0.9018576,2
2015-04-10,-0.9735126,2
2015-04-13,-0.9989857,2
2015-04-14,-0.99281085,4
2015-04-15,-0.28474855,7
2015-04-16,-0.99859357,4
2015-04-17,-0.5082462,2
2015-04-20,0.07447485,3
2015-04-22,-0.9965277,5
2015-04-23,-0.96116924,3
2015-04-24,-0.8948965,4
2015-04-27,-0.039901987,1
2015-04-28,-0.37142718,3
2015-04-29,-0.9419861,5
2015-04-30,-0.9524156,9
2015-05-01,-0.79927504,5
2015-05-03,-0.9997399,1
2015-05-04,-0.26555148,4
2015-05-05,-0.9976949,3
2015-05-06,-0.99974525,1
2015-05-07,-0.9967453,2
2015-05-08,-0.8271742,6
2015-05-10,-0.99908054,1
2015-05-11,-0.9999601,1
2015-05-12,-0.99489754,4
2015-05-13,-0.009499152,3
2015-05-14,-0.9992177,1
2015-05-15,-0.10041104,5
2015-05-18,-0.99778825,3
2015-05-19,-0.7454088,4
2015-05-20,-0.11354864,2
2015-05-21,0.24733724,3
2015-05-26,-0.99883366,2
2015-05-28,-0.21013458,3
2015-05-29,-2.1250984e-05,1
2015-06-01,-0.9993783,1
2015-06-02,-0.99126184,1
2015-06-03,-0.9925275,5
2015-06-04,-0.32388905,5
2015-06-05,-0.96012926,2
2015-06-08,0.997506,1
2015-06-09,-0.37680176,3
2015-06-10,-0.49723995,2
2015-06-11,-0.99970603,1
2015-06-12,-0.99794626,3
2015-06-13,-0.974891,1
2015-06-15,-0.95265764,3
2015-06-16,-0.6048957,7
2015-06-17,-0.49966452,4
2015-06-18,-0.77564394,5
2015-06-19,-0.73722243,4
2015-06-22,-0.9817893,1
2015-06-23,-0.9988823,2
2015-06-25,0.4891768,4
2015-06-26,0.0007706086,3
2015-06-30,-0.62180865,5
2015-07-01,-0.9862382,2
2015-07-02,-0.5000052,2
2015-07-03,0.23608817,3
2015-07-04,-0.99989647,1
2015-07-06,-0.6135026,5
2015-07-07,0.00028964877,2
2015-07-08,-0.99966514,2
2015-07-09,-0.040052712,3
2015-07-10,-0.7267793,6
2015-07-11,-0.9996522,1
2015-07-14,-0.2734499,1
2015-07-15,-0.98313975,3
2015-07-16,-0.49515694,2
2015-07-17,-0.87629664,4
2015-07-20,-0.8411581,1
2015-07-21,-0.00043025613,2
2015-07-22,-0.0085156225,2
2015-07-23,0.4950597,4
2015-07-24,-0.9991749,3
2015-07-27,-0.99707216,1
2015-07-28,-0.99721324,2
2015-07-29,-0.49984628,2
2015-07-30,-0.7469102,4
2015-08-03,-0.99358976,1
2015-08-04,0.22331823,2
2015-08-05,-0.99991703,1
2015-08-06,-0.9993353,1
2015-08-07,-0.59603953,5
2015-08-10,-0.9609744,1
2015-08-11,-0.99551815,1
2015-08-12,-0.0013294503,1
2015-08-13,-0.99975806,1
2015-08-18,-1.2785196e-05,2
2015-08-19,-0.49995664,2
2015-08-20,-0.9473505,3
2015-08-21,-0.6281421,4
2015-08-23,-0.9996539,1
2015-08-25,-0.0002140797,1
2015-08-26,-0.3742066,1
2015-08-27,-0.52795947,1
2015-08-28,-0.061334312,2
2015-08-31,-0.28236842,4
2015-09-01,-0.58634883,3
2015-09-02,-0.8216492,2
2015-09-04,-0.9997683,1
2015-09-08,-0.99927163,1
2015-09-09,-0.32794964,4
2015-09-10,-0.99945974,3
2015-09-11,-0.9998487,1
2015-09-14,-0.9999841,1
2015-09-15,-0.7996946,4
2015-09-16,-0.867682,2
2015-09-17,-0.31843135,1
2015-09-18,-0.9900058,3
2015-09-20,-0.96885484,1
2015-09-21,-0.46629024,2
2015-09-22,-0.49817464,2
2015-09-23,-0.9887859,3
2015-09-25,-0.9943199,3
2015-09-28,-2.1399353e-05,1
2015-09-29,-0.9889051,1
2015-09-30,-5.444688e-07,1
2015-10-01,-0.995949,2
2015-10-02,0.00024834275,2
2015-10-04,0.98365784,2
2015-10-05,-0.7993851,4
2015-10-06,-0.99919486,1
2015-10-07,-0.99845505,2
2015-10-08,-0.9983791,1
2015-10-09,0.9999198,1
2015-10-12,-0.99999523,1
2015-10-13,-0.4619623,1
2015-10-15,-0.988075,2
2015-10-16,-0.96646094,2
2015-10-21,-0.49472064,2
2015-10-22,-0.7775474,2
2015-10-26,-0.9999519,1
2015-10-27,-0.9992121,3
2015-10-28,-0.14826782,6
2015-10-30,-0.60482574,2
2015-10-31,-0.9829884,1
2015-11-01,-0.999995,1
2015-11-02,0.49998933,2
2015-11-03,-0.8472772,3
2015-11-04,-0.42791614,3
2015-11-05,-0.99477804,5
2015-11-06,-2.8630927e-07,1
2015-11-08,-0.9998536,1
2015-11-09,-0.9826744,3
2015-11-10,-0.99997103,1
2015-11-13,-0.98405194,4
2015-11-16,-0.00391384,3
2015-11-19,-0.021054506,2
2015-11-20,0.98721737,1
2015-11-24,-0.9741359,3
2015-11-25,-0.97372967,1
2015-11-27,-0.9109661,1
2015-11-30,-0.81830186,3
2015-12-01,-0.9977901,4
2015-12-02,-8.9231467e-10,1
2015-12-03,-0.9792658,2
2015-12-04,-0.9887466,1
2015-12-07,-0.999973,1
2015-12-08,-0.733195,3
2015-12-09,-0.9301734,2
2015-12-11,-0.9929138,3
2015-12-12,-0.99777865,1
2015-12-14,-0.99997973,1
2015-12-16,0.008659124,2
2015-12-17,-0.99647415,1
2015-12-18,-0.9965445,2
2015-12-23,-0.47386098,2
2015-12-24,-0.999802,2
2015-12-29,-0.6664668,3
2015-12-31,-0.98975,2
2016-01-04,-0.8239806,2
2016-01-06,-0.4999116,2
2016-01-07,-0.99972177,2
2016-01-08,-0.3297979,3
2016-01-14,-0.89282256,3
2016-01-15,0.98098934,2
2016-01-18,-0.9696295,2
2016-01-19,-0.99977964,3
2016-01-20,-0.9994178,1
2016-01-21,-0.5248379,2
2016-01-22,-0.9996957,1
2016-01-26,-0.8988141,2
2016-01-27,-0.9935418,1
2016-01-28,-0.6650925,3
2016-01-29,-0.69312716,3
2016-01-31,-0.99695885,2
2016-02-01,-0.6143036,2
2016-02-02,-0.9971857,3
2016-02-03,0.99989164,1
2016-02-04,0.38719523,2
2016-02-10,-0.99656326,1
2016-02-16,-0.994941,3
2016-02-17,-0.7495536,4
2016-02-18,2.3538269e-07,1
2016-02-21,-0.9945123,1
2016-02-22,-0.90205866,1
2016-02-23,-0.99618834,1
2016-02-24,-0.9827868,1
2016-02-25,-0.99938387,2
2016-02-26,-0.9050797,2
2016-02-27,-0.7817233,2
2016-02-29,-0.9992744,1
2016-03-02,-0.5362526,2
2016-03-03,-0.9989294,2
2016-03-04,-4.3570995e-05,4
2016-03-09,-0.999846,1
2016-03-10,-0.9999164,1
2016-03-11,-0.624072,1
2016-03-14,-0.30943263,5
2016-03-15,0.053488582,2
2016-03-18,-0.45440987,4
2016-03-22,-0.999841,1
2016-03-23,-0.9996336,3
2016-03-24,-0.4963489,2
2016-03-28,-0.0010694554,2
2016-04-01,-0.9999603,1
2016-04-06,-0.4945582,2
2016-04-07,-0.9036476,1
2016-04-08,-0.470966,1
2016-04-09,0.9996516,1
2016-04-11,-0.72643703,3
2016-04-12,-0.7837106,2
2016-04-13,-0.99162054,2
2016-04-14,-0.99879974,1
2016-04-15,-0.82133126,4
2016-04-17,-0.9993761,1
2016-04-19,-0.6257485,2
2016-04-20,-0.9993332,2
2016-04-21,-0.9985649,3
2016-04-22,-0.9984156,1
2016-04-26,-0.3151835,1
2016-04-28,-0.9997215,1
2016-04-29,-0.99996454,1
2016-05-02,-0.6255489,24
2016-05-03,-0.14243646,4
2016-05-04,-0.9984681,1
2016-05-05,-0.1677108,14
2016-05-06,0.9976171,5
2016-05-09,0.9976172,1
2016-05-10,-0.49463242,2
2016-05-11,-0.3343012,3
2016-05-13,-0.003804851,3
2016-05-14,-0.9424411,1
2016-05-15,-0.9978233,1
2016-05-16,-0.9996182,1
2016-05-18,-0.99956936,2
2016-05-19,-0.6968597,7
2016-05-23,-0.94389373,1
2016-05-25,-0.9942733,1
2016-05-26,-0.8719138,4
2016-05-27,0.25810125,1
2016-05-30,0.76884407,1
2016-05-31,0.27069524,6
2016-06-01,-0.012920707,2
2016-06-02,-0.9998308,1
2016-06-06,-0.804943,4
2016-06-09,-0.82977974,2
2016-06-10,-0.9817967,3
2016-06-13,-0.8962313,4
2016-06-14,-0.89568096,3
2016-06-16,-0.9816284,5
2016-06-17,-0.65219504,6
2016-06-19,-0.0012523945,1
2016-06-20,-0.9760075,3
2016-06-21,-0.66590464,3
2016-06-22,-0.8953047,2
2016-06-23,-0.5662935,5
2016-06-24,-0.63690144,5
2016-06-25,0.9015969,1
2016-06-27,-0.9966533,2
2016-06-28,-0.6382339,2
2016-06-29,-0.52034193,8
2016-06-30,-0.011571855,5
2016-07-01,0.8182726,5
2016-07-04,-0.87312835,1
2016-07-05,-0.9951469,4
2016-07-06,-0.99670535,1
2016-07-07,-0.33472696,3
2016-07-08,0.12263068,6
2016-07-09,0.30525535,3
2016-07-10,0.06354973,1
2016-07-12,-0.91854024,11
2016-07-13,0.035255235,3
2016-07-14,-0.9993284,1
2016-07-15,-0.9910122,1
2016-07-18,-0.9999014,2
2016-07-19,-0.9997262,2
2016-07-21,-0.98761356,7
2016-07-22,-0.6275736,2
2016-07-25,-0.984615,2
2016-07-26,-0.9455899,2
2016-07-27,-0.9325849,4
2016-08-01,-0.59981376,5
2016-08-02,-0.99971545,7
2016-08-03,-0.37235814,22
2016-08-04,-0.24865931,6
2016-08-05,-0.6508048,7
2016-08-07,0.8946106,1
2016-08-08,0.28176996,3
2016-08-09,-0.97827214,3
2016-08-10,-0.9995255,1
2016-08-11,-0.9932144,1
2016-08-14,-0.4024434,2
2016-08-15,-0.9839156,12
2016-08-16,-0.7546338,4
2016-08-17,-0.99967635,1
2016-08-18,-0.9959894,1
2016-08-22,-0.723622,2
2016-08-23,-0.99947685,1
2016-08-24,-0.14002162,4
2016-08-25,-0.6626982,3
2016-08-26,-0.2411463,8
2016-08-27,-0.9832408,1
2016-08-29,-0.33096305,3
2016-08-30,-0.3371106,3
2016-09-02,-0.99979657,2
2016-09-04,-0.96784806,1
2016-09-06,-0.9999877,1
2016-09-07,0.9475369,1
2016-09-08,-0.9997833,2
2016-09-09,0.098190695,3
2016-09-11,-0.9905063,1
2016-09-14,-0.4999207,2
2016-09-16,-0.4837234,5
2016-09-19,-0.49960303,8
2016-09-20,-0.8891061,9
2016-09-21,-0.77899665,3
2016-09-22,-0.9341257,5
2016-09-26,-0.99825406,1
2016-09-28,-0.7975537,5
2016-09-29,-0.83316064,6
2016-09-30,-0.9997928,1
