Date,Open,High,Low,Close,VolumeFrom,VolumeTo,price_change,abs_price_change
2023-02-21,24838.09,25216.35,24168.6,24450.5,68937.6,1699888067.11,-0.015604662033191774,0.015604662033191774
2023-02-22,24450.5,24471.79,23597.76,24186.92,71228.71,1707889533.14,-0.010780147645242488,0.010780147645242488
2023-02-23,24186.92,24595.08,23629.29,23941.1,67725.34,1630064365.85,-0.010163344485366488,0.010163344485366488
2023-02-24,23941.1,24125.33,22830.91,23189.78,68652.11,1610829236.2,-0.03138201669931617,0.03138201669931617
2023-02-25,23190.14,23218.2,22809.19,23168.68,24727.95,569329617.92,-0.0009098835780243508,0.0009098835780243508
2023-02-26,23168.68,23671.2,23068.22,23557.29,27073.82,632282012.46,0.016773074685307865,0.016773074685307865
2023-02-27,23557.29,23884.1,23148.47,23492.86,45081.05,1057863335.56,-0.0027350344627926626,0.0027350344627926626
2023-02-28,23492.86,23595.27,23038.65,23137.23,34862.93,814380395.42,-0.015137790801119988,0.015137790801119988
2023-03-01,23137.23,23980.02,23036.22,23642.8,45323.52,1070132297.9,0.021850930297187654,0.021850930297187654
2023-03-02,23642.8,23794.81,23210.39,23467.23,34727.29,813452928.16,-0.007425939398040815,0.007425939398040815
2023-03-03,23467.23,23477.22,22134.9,22360.92,59283.75,1328714697.97,-0.047142760351349566,0.047142760351349566
2023-03-04,22360.92,22410.68,22177.19,22353.23,11840.22,264342272.32,-0.0003439035603185481,0.0003439035603185481
2023-03-05,22353.23,22638.92,22243.05,22434.09,20875.88,468467084.05,0.0036173743123477653,0.0036173743123477653
2023-03-06,22434.09,22595.33,22311.67,22410.79,27089.91,607585243.32,-0.0010385979551654767,0.0010385979551654767
2023-03-07,22410.79,22540.85,21951.39,22201.44,38893.98,865083425.31,-0.00934148238415522,0.00934148238415522
2023-03-08,22201.44,22262.91,21628.01,21704.74,41232.56,907354581.02,-0.0223724226896993,0.0223724226896993
2023-03-09,21704.74,21822.92,20113.96,20370.48,75232.11,1584851678.8,-0.061473208156375136,0.061473208156375136
2023-03-10,20370.48,20371.25,19599.47,20206.71,105350.02,2103890132.26,-0.00803957491428775,0.00803957491428775
2023-03-11,20206.71,20847.88,19895.33,20613.6,69435.51,1416403424.21,0.020136380439962798,0.020136380439962798
2023-03-12,20613.6,22224.01,20445.19,22183.71,63957.66,1352204877.06,0.07616864594248463,0.07616864594248463
2023-03-13,22183.71,24596.0,21896.85,24207.1,94501.71,2198916015.73,0.09121062256944401,0.09121062256944401
2023-03-14,24207.1,26522.41,24071.83,24757.56,110643.58,2783419006.43,0.022739609453424903,0.022739609453424903
2023-03-15,24757.56,25272.47,23946.02,24372.11,74114.24,1826358018.09,-0.01556898175749144,0.01556898175749144
2023-03-16,24372.11,25211.23,24220.45,25049.83,55408.3,1372954004.0,0.02780719437094281,0.02780719437094281
2023-03-17,25049.83,27782.88,24945.9,27441.41,96426.82,2554985216.53,0.09547290340892522,0.09547290340892522
2023-03-18,27441.41,27749.91,26655.22,26973.46,48843.14,1335463761.57,-0.017052695178564115,0.017052695178564115
2023-03-19,26973.46,28441.41,26901.66,28040.29,48163.58,1337898482.67,0.0395510994881636,0.0395510994881636
2023-03-20,28040.29,28539.63,27228.03,27807.05,65834.79,1838684361.11,-0.008318030947611521,0.008318030947611521
2023-03-21,27807.05,28494.87,27416.8,28188.11,45696.4,1282225223.57,0.013703719020895733,0.013703719020895733
2023-03-22,28188.11,28902.98,26676.69,27316.18,81267.64,2277940781.79,-0.030932545672625822,0.030932545672625822
2023-03-23,27316.18,28807.82,27190.13,28345.7,63194.55,1769187941.89,0.03768901801057112,0.03768901801057112
2023-03-24,28345.7,28421.94,27054.76,27493.01,52231.16,1456957038.0,-0.030081811350575305,0.030081811350575305
2023-03-25,27493.01,27819.55,27186.95,27492.83,22474.29,618098148.62,-6.547118703847943e-06,6.547118703847943e-06
2023-03-26,27492.83,28217.66,27448.83,27995.16,26394.91,734596186.26,0.01827130928318388,0.01827130928318388
